,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
91,2.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,472496,0,0,1.6785700000000001,0,20
92,1.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,480634,0,0,1.7,0,22
93,1.0,268,22,72,36,38,32,4,68,34,4,19,4,0.8947370000000001,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,122,0,16,23,34,0,2,0,0,0,0,2,480920,0,0,1.6764700000000001,0,24
94,3.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,482984,0,0,1.68,0,18
95,1.0,275,14,75,39,41,32,4,71,34,7,17,7,0.829268,0.21875,15,2.6,0,33,0.683333,0.533333,31,2,12,8,8,0,126,0,18,15,26,0,2,0,0,0,0,2,483023,0,0,1.6923099999999998,0,19
96,1.0,254,14,65,38,38,30,4,61,27,8,16,8,0.710526,0.266667,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,118,0,20,16,25,0,2,0,0,0,0,2,483045,0,0,1.76,0,20
97,2.0,247,15,65,36,38,32,4,61,27,4,16,4,0.710526,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,108,0,16,16,27,0,2,0,0,0,0,2,515458,0,0,1.7037,0,20
98,2.0,253,17,67,36,38,32,4,63,29,4,17,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,523020,0,0,1.7241400000000002,0,22
99,1.0,265,21,71,36,38,32,4,67,33,4,19,4,0.8684209999999999,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,120,0,16,22,33,0,2,0,0,0,0,2,523282,0,0,1.69697,0,24
100,4.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,525249,0,0,1.65385,0,18
101,1.0,278,15,76,39,42,32,4,72,34,7,17,7,0.809524,0.21875,15,2.6,0,33,0.7,0.533333,31,2,12,8,8,0,128,0,18,16,27,0,2,0,0,0,0,2,525294,0,0,1.66667,0,19
102,1.0,268,16,70,38,40,30,4,66,30,8,17,8,0.75,0.266667,15,2.6,0,33,0.666667,0.5,27,0,12,8,8,0,126,0,20,18,28,0,2,0,0,0,0,2,525308,0,0,1.6785700000000001,0,20
103,1.0,257,15,66,38,39,30,4,62,27,8,16,8,0.692308,0.266667,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,26,0,2,0,0,0,0,2,525320,0,0,1.7307700000000001,0,20
104,1.0,253,17,67,36,38,32,4,63,29,4,18,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,537441,0,0,1.65517,0,20
105,3.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,560027,0,0,1.6785700000000001,0,20
106,1.0,284,17,78,39,43,32,4,74,35,7,18,7,0.8139529999999999,0.21875,15,2.6,0,33,0.716667,0.533333,31,2,12,8,8,0,132,0,18,18,29,0,2,0,0,0,0,2,560084,0,0,1.68966,0,21
107,1.0,263,17,68,38,40,30,4,64,28,8,17,8,0.7,0.266667,15,2.6,0,33,0.666667,0.5,25,0,11,8,8,0,124,0,20,19,28,0,2,0,0,0,0,2,560118,0,0,1.75,0,22
108,2.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,568165,0,0,1.7,0,22
109,1.0,269,19,70,38,40,30,4,66,30,8,18,8,0.75,0.266667,15,2.6,0,33,0.666667,0.5,25,0,11,8,8,0,128,0,20,21,30,0,2,0,0,0,0,2,568276,0,0,1.76667,0,24
110,1.0,268,22,72,36,38,32,4,68,34,4,19,4,0.8947370000000001,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,122,0,16,23,34,0,2,0,0,0,0,2,568451,0,0,1.6764700000000001,0,24
111,4.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,570515,0,0,1.68,0,18
